연번,호선,역명,장비,호기,승강기번호,운행구간(공사기준),설치위치,운행구간(자체조사)
736,5,공덕,E/S,11,1808-911,BM1-B1,내부,대합(B1)-BM1(#2 출구측)
737,5,애오개,E/S,1,1800-593,B1-B3,내부,대(B3)-대(B1)
738,5,애오개,E/S,2,1800-594,B1-B3,내부,대(B3)-대(B1)
739,5,애오개,E/S,3,1810-123,B1-B3,내부,대(B3)-대(B1)
740,5,애오개,E/S,4,1810-124,B1-B3,내부,대(B3)-대(B1)
741,5,애오개,E/S,5,1808-126,F1-B1,외부,BM1-지상(#4 출구)
742,5,애오개,E/S,6,1808-127,F1-B1,외부,BM1-지상(#4 출구)
743,5,충정로,E/S,1,1800-576,B2-B4,내부,대합(B2)-대합(B4)
744,5,충정로,E/S,2,1800-577,B2-B4,내부,대합(B2)-대합(B4)
745,5,충정로,E/S,3,1800-578,B2-B4,내부,대합(B2)-대합(B4)
746,5,충정로,E/S,4,1800-579,B2-B4,내부,대합(B2)-대합(B4)
747,5,충정로,E/S,5,,F1-BM1,외부,BM1-지상(#7 출구)
748,5,충정로,E/S,6,,F1-BM1,외부,BM1-지상(#7 출구)
749,5,서대문,E/S,1,1800-347,B1-B3,내부,대합(B3)-대합(B1)
750,5,서대문,E/S,2,1800-348,B1-B3,내부,대합(B3)-대합(B1)
751,5,서대문,E/S,3,1800-349,B1-B3,내부,대합(B3)-대합(B1)
752,5,서대문,E/S,4,1800-350,B1-B3,내부,대합(B3)-대합(B1)
753,5,서대문,E/S,5,1801-032,F1-BM1,외부,BM1-지상(#6 출구)
754,5,서대문,E/S,6,1801-033,F1-BM1,외부,BM1-지상(#6 출구)
755,5,서대문,E/S,7,1800-484,F1-B1,외부,B1-지상(#5 출구)
756,5,서대문,E/S,8,1800-485,F1-B1,외부,B1-지상(#5 출구)
757,5,서대문,E/S,9,1810-574,F1-B1,외부,B1-지상(#4 출구)
758,5,서대문,E/S,10,1810-573,F1-B1,외부,B1-지상(#4 출구)
759,5,광화문,E/S,1,1800-311,B2-B3,내부,중앙/승강(B3)-대합(B2)
760,5,광화문,E/S,2,1800-312,B2-B3,내부,중앙/승강(B3)-대합(B2)
761,5,광화문,E/S,3,1800-313,B1-B2,내부,중앙/대합(B2)-대합(B1)
762,5,광화문,E/S,4,1800-314,B1-B2,내부,중앙/대합(B2)-대합(B1)
763,5,종로3가,E/S,1,1800-008,B3-B5,내부,중앙/승강(B5)-대합(B3)
764,5,종로3가,E/S,2,1800-009,B3-B5,내부,중앙/승강(B5)-대합(B3)
765,5,종로3가,E/S,3,1800-010,B1-B3,내부,대합(B3)-대합(B1)
766,5,종로3가,E/S,4,1800-011,B1-B3,내부,대합(B3)-대합(B1)
767,5,종로3가,E/S,5,1800-012,B3-B4,내부,대합(B4)-환/대합(B3)
768,5,종로3가,E/S,6,1800-013,B3-B4,내부,대합(B4)-환/대합(B3)
769,5,종로3가,E/S,7,1800-014,B3-B4,내부,대합(B4)-환/대합(B3)
770,5,종로3가,E/S,8,1800-017,B3-B4,내부,대합(B4)-환/대합(B3)
771,5,종로3가,E/S,9,1800-015,F1-B1,외부,대합(B1)-지상(#4 출구)
772,5,종로3가,E/S,10,1800-016,F1-B1,외부,대합(B1)-지상(#4 출구)
773,5,을지로4가,E/S,1,1800-744,B2-B4,내부,대합(B4)-대합(B2)
774,5,을지로4가,E/S,2,1800-743,B2-B4,내부,대합(B4)-대합(B2)
775,5,을지로4가,E/S,3,1800-746,B2-B4,내부,대합(B4)-환승(B2)
776,5,을지로4가,E/S,4,1800-745,B2-B4,내부,대합(B4)-환승(B2)
777,5,을지로4가,E/S,5,1800-747,B3-B5,내부,중앙/승강(B5)-대합(B3)
778,5,을지로4가,E/S,6,1800-748,B3-B5,내부,중앙/승강(B5)-대합(B3)
779,5,을지로4가,E/S,7,1800-466,B1-B2,내부,대합(B2)-대합(B1)
